NAME,w_m18_19,w_m20_24,w_f18_19,w_f20_24,b_m18_19,b_m20_24,b_f18_19,b_f20_24,h_m18_19,h_m20_24,h_f18_19,h_f20_24,m18_19,m20,m21,m22_24,f18_19,f20,f21,f22_24,state,county,GEOID,white_youth,black_youth,hispanic_youth,youth_18_24
"Alamance County, North Carolina",1598,3298,2224,3353,417,1295,382,1163,568,1225,557,1207,2886,1186,1041,3511,3298,1854,1443,2751,37,001,37001,10473,3257,3557,17970
"Alexander County, North Carolina",282,826,268,776,1,39,0,0,60,74,0,80,343,101,82,794,297,215,122,534,37,003,37003,2152,40,214,2488
"Alleghany County, North Carolina",95,211,61,252,0,5,0,15,33,13,24,33,95,46,19,152,61,46,38,186,37,005,37005,619,20,103,643
"Anson County, North Carolina",131,235,77,242,82,343,46,326,1,49,3,24,213,155,239,340,153,96,107,413,37,007,37007,685,797,77,1716
"Ashe County, North Carolina",206,645,181,534,0,0,0,1,0,128,99,0,206,86,70,538,285,107,48,387,37,009,37009,1566,1,227,1727
"Avery County, North Carolina",312,354,321,344,0,64,53,25,5,74,28,4,327,124,111,262,390,156,69,155,37,011,37011,1331,142,111,1594
"Beaufort County, North Carolina",257,757,204,736,157,289,32,326,54,227,121,81,468,89,291,828,330,60,221,929,37,013,37013,1954,804,483,3216
"Bertie County, North Carolina",104,74,75,67,79,448,97,250,10,25,2,0,201,67,56,474,174,91,92,152,37,015,37015,320,874,37,1307
"Bladen County, North Carolina",244,289,188,304,44,314,100,300,143,94,19,72,409,265,102,368,317,237,149,343,37,017,37017,1025,758,328,2190
"Brunswick County, North Carolina",721,2184,693,2025,134,324,113,207,40,414,156,265,962,650,463,2043,953,442,641,1840,37,019,37019,5623,778,875,7994
"Buncombe County, North Carolina",2144,5405,2212,5821,275,289,283,278,416,1028,432,946,3056,1716,1661,3766,3109,1991,1257,3927,37,021,37021,15582,1125,2822,20483
"Burke County, North Carolina",658,1901,562,1594,163,282,10,91,152,499,131,265,1028,743,535,1529,689,482,327,1301,37,023,37023,4715,546,1047,6634
"Cabarrus County, North Carolina",1556,3801,1282,3438,706,1488,439,1419,598,1180,591,1223,2944,1135,1874,3874,2803,1134,1167,4471,37,025,37025,10077,4052,3592,19402
"Caldwell County, North Carolina",612,1821,577,1721,0,188,67,39,197,322,112,180,809,467,673,1235,869,260,537,1209,37,027,37027,4731,294,811,6059
"Camden County, North Carolina",195,89,28,139,57,78,0,6,0,32,0,50,252,28,35,195,77,12,80,164,37,029,37029,451,141,82,843
"Carteret County, North Carolina",506,1292,425,1162,58,180,0,41,80,101,145,75,707,256,348,1006,585,201,394,746,37,031,37031,3385,279,401,4243
"Caswell County, North Carolina",152,350,105,308,63,380,76,142,0,30,0,57,217,129,177,511,181,164,123,275,37,033,37033,915,661,87,1777
"Catawba County, North Carolina",1236,3555,1222,3423,132,543,199,505,403,935,350,851,1946,1400,933,2782,1917,744,874,3210,37,035,37035,9436,1379,2539,13806
"Chatham County, North Carolina",444,1110,382,1076,38,366,61,320,322,392,238,430,809,330,290,1185,763,283,394,1234,37,037,37037,3012,785,1382,5288
"Cherokee County, North Carolina",148,635,197,512,0,1,12,0,0,14,31,34,148,229,70,378,235,135,80,416,37,039,37039,1492,13,79,1691
"Chowan County, North Carolina",40,133,115,176,28,12,33,166,36,8,0,0,104,44,8,101,148,50,4,288,37,041,37041,464,239,44,747
"Clay County, North Carolina",243,90,81,272,0,0,2,20,0,0,30,0,243,0,0,90,84,48,129,124,37,043,37043,686,22,30,718
"Cleveland County, North Carolina",851,2159,891,2068,245,555,152,572,96,158,73,110,1334,879,513,1713,1391,550,472,1910,37,045,37045,5969,1524,437,8762
"Columbus County, North Carolina",290,881,290,876,251,518,115,462,14,135,30,169,642,312,268,1100,429,307,182,1023,37,047,37047,2337,1346,348,4263
"Craven County, North Carolina",701,3508,548,2090,242,857,202,752,202,728,79,513,1376,1208,1307,2959,933,384,555,2447,37,049,37049,6847,2053,1522,11169
