NAME,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county,youth_18_24,pct_youth,GEOID
"Alamance County, North Carolina",176893.0,84742,5107,5174,6145,3547,2886.0,1186.0,1041.0,3511.0,5284,5717,5324,4969,5006,5672,5771,2259,3101,1853,2824,3344,2371,1473,1177,92151,4953,5382,5409,3492,3298.0,1854.0,1443.0,2751.0,5609,6071,5634,5583,5456,5891,6191,2535,3288,2177,3106,4465,3082,2370,2111,37,001,17970.0,10.15868349793378,37001
"Alexander County, North Carolina",36412.0,18639,924,944,1173,595,343.0,101.0,82.0,794.0,1173,1319,1224,1098,1293,1249,1291,865,534,364,691,1126,844,375,237,17773,881,875,916,836,297.0,215.0,122.0,534.0,996,1036,1181,991,1053,1189,1285,478,804,522,609,1043,1102,421,387,37,003,2488.0,6.832912226738438,37003
"Alleghany County, North Carolina",11174.0,5519,208,338,251,134,95.0,46.0,19.0,152.0,238,324,246,278,295,424,363,170,345,143,524,368,309,163,86,5655,212,220,230,239,61.0,46.0,38.0,186.0,234,351,292,219,276,337,378,229,265,153,536,350,399,201,203,37,005,643.0,5.754429926615357,37005
"Anson County, North Carolina",22289.0,11475,596,620,659,295,213.0,155.0,239.0,340.0,968,991,605,934,730,708,905,326,244,390,334,526,296,279,122,10814,540,537,693,486,153.0,96.0,107.0,413.0,660,609,742,497,594,697,687,500,355,342,458,505,460,376,307,37,007,1716.0,7.698864910942617,37007
"Ashe County, North Carolina",26950.0,13247,559,652,575,445,206.0,86.0,70.0,538.0,686,720,708,801,846,859,835,475,798,514,608,936,768,320,242,13703,515,481,752,568,285.0,107.0,48.0,387.0,640,700,542,897,739,872,862,715,638,419,478,1328,715,468,547,37,009,1727.0,6.408163265306123,37009
"Avery County, North Carolina",17680.0,9501,334,388,318,276,327.0,124.0,111.0,262.0,577,593,671,683,776,747,558,321,461,120,393,683,448,241,89,8179,355,382,338,163,390.0,156.0,69.0,155.0,564,382,331,471,485,479,505,239,509,193,365,710,593,160,185,37,011,1594.0,9.015837104072398,37011
"Beaufort County, North Carolina",44499.0,21231,960,1164,1242,838,468.0,89.0,291.0,828.0,1023,1082,965,1353,1190,1293,1483,697,1040,700,806,1727,1200,432,360,23268,1161,1285,1069,796,330.0,60.0,221.0,929.0,1096,1135,1362,1205,1396,1430,1436,910,1260,795,1074,1753,1153,672,740,37,013,3216.0,7.227128699521337,37013
"Bertie County, North Carolina",17170.0,8901,369,456,352,335,201.0,67.0,56.0,474.0,711,424,701,630,483,532,592,296,339,165,291,731,463,91,142,8269,337,477,268,194,174.0,91.0,92.0,152.0,390,384,396,516,431,574,576,293,467,391,430,580,488,318,250,37,015,1307.0,7.6121141525917295,37015
"Bladen County, North Carolina",29566.0,14277,760,691,1138,607,409.0,265.0,102.0,368.0,754,782,815,803,844,882,970,592,376,430,649,887,758,221,174,15289,707,937,766,488,317.0,237.0,149.0,343.0,841,778,868,926,917,922,1199,523,555,574,655,968,732,404,483,37,017,2190.0,7.407156869376987,37017
"Brunswick County, North Carolina",152568.0,73340,2823,3243,3032,2002,962.0,650.0,463.0,2043.0,3331,3519,3858,3162,3359,4060,5040,2328,4998,2857,5082,8035,4694,2443,1356,79228,2655,2501,3303,1862,953.0,442.0,641.0,1840.0,3386,3651,4247,3332,3562,4450,6152,3306,5808,3912,5046,8831,5440,2266,1642,37,019,7994.0,5.239630853127785,37019
