NAME,population,median_income,white_population,black_population,asian_population,hispanic_population,state,county,GEOID
"Alamance County, North Carolina",176893,65651,106569,34953,3241,27012,37,001,37001
"Alexander County, North Carolina",36412,65354,31805,1828,363,2031,37,003,37003
"Alleghany County, North Carolina",11174,47172,9932,193,52,1274,37,005,37005
"Anson County, North Carolina",22289,47302,9911,10031,351,932,37,007,37007
"Ashe County, North Carolina",26950,56866,25019,272,119,1630,37,009,37009
"Avery County, North Carolina",17680,61428,15338,676,77,1070,37,011,37011
"Beaufort County, North Carolina",44499,58357,30368,10166,118,3513,37,013,37013
"Bertie County, North Carolina",17170,48750,5934,10238,130,422,37,015,37015
"Bladen County, North Carolina",29566,42422,16119,9569,47,2752,37,017,37017
"Brunswick County, North Carolina",152568,77024,124657,12809,1020,8583,37,019,37019
"Buncombe County, North Carolina",274360,74436,224885,13276,3089,23475,37,021,37021
"Burke County, North Carolina",87795,58592,70844,5405,3108,7457,37,023,37023
"Cabarrus County, North Carolina",236133,89005,139597,45644,14549,30081,37,025,37025
"Caldwell County, North Carolina",80536,56425,69339,3274,426,5381,37,027,37027
"Camden County, North Carolina",10927,91078,8536,1031,127,460,37,029,37029
"Carteret County, North Carolina",69148,72322,59438,2913,692,3401,37,031,37031
"Caswell County, North Carolina",22404,59755,13503,6874,93,1141,37,033,37033
"Catawba County, North Carolina",163573,67864,122021,12945,6962,18786,37,035,37035
"Chatham County, North Carolina",80151,94317,56974,8152,1791,10930,37,037,37037
"Cherokee County, North Carolina",29562,53628,26739,527,156,1088,37,039,37039
"Chowan County, North Carolina",13836,53864,8353,4522,9,554,37,041,37041
"Clay County, North Carolina",11610,56971,10768,256,66,481,37,043,37043
"Cleveland County, North Carolina",100991,58534,72350,18099,1098,4792,37,045,37045
"Columbus County, North Carolina",50140,49442,29839,14082,249,2831,37,047,37047
"Craven County, North Carolina",102612,65873,68018,20249,2944,7996,37,049,37049
"Cumberland County, North Carolina",338545,61291,143594,127504,9026,42995,37,051,37051
"Currituck County, North Carolina",30601,93511,25917,1541,280,1587,37,053,37053
"Dare County, North Carolina",37875,88994,32699,964,185,2788,37,055,37055
"Davidson County, North Carolina",172954,64172,133972,16096,2667,15456,37,057,37057
"Davie County, North Carolina",44122,75057,36441,1959,317,3645,37,059,37059
"Duplin County, North Carolina",49335,55148,26427,10934,288,11496,37,061,37061
"Durham County, North Carolina",332353,82316,144356,106591,17932,52523,37,063,37063
"Edgecombe County, North Carolina",48736,51265,18160,27114,128,3005,37,065,37065
"Forsyth County, North Carolina",389977,67165,217688,98404,9311,58888,37,067,37067
"Franklin County, North Carolina",74386,74240,45832,17406,832,8319,37,069,37069
"Gaston County, North Carolina",234881,67478,160677,41145,4032,23213,37,071,37071
"Gates County, North Carolina",10376,66333,6569,3220,0,225,37,073,37073
"Graham County, North Carolina",8072,49684,6853,30,54,240,37,075,37075
"Granville County, North Carolina",60877,71111,34534,17711,225,6751,37,077,37077
"Greene County, North Carolina",20486,53244,9811,6514,10,3166,37,079,37079
"Guilford County, North Carolina",547940,68642,260614,185470,29591,55083,37,081,37081
"Halifax County, North Carolina",47675,45590,17676,24627,438,1612,37,083,37083
"Harnett County, North Carolina",139150,71287,86245,28104,1331,21043,37,085,37085
