county,registered_youth,registered_total
01.1,80,1858
02.1,293,2798
03.1,145,1946
04.1,99,1310
05.1,261,2504
06.1,74,1299
07.1,121,1731
08.2,201,2277
08.3,154,2342
09.1,259,3430
0BIDS,80,1105
10.1,143,1442
11.1,81,2292
12.1,115,2256
13.1,152,2131
14.2,150,2190
14.3,117,1019
15.1,127,2017
16.2,196,2792
17.1,89,1401
18.2,386,4669
19.1,105,1376
20.1,48,969
21.1,147,2426
22.2,132,2198
23.2,26,652
23.3,60,811
24.1,164,2279
25.1,125,2118
26.1,167,1782
27.2,42,758
28.1,467,1867
29.2,161,2904
30.2,266,3040
30.3,280,3336
31.1,121,1225
32.1,160,2031
33.2,102,1326
33.3,134,1801
34.1,70,1063
35.1,80,1702
36.1,145,1822
37.1,110,1404
38.2,165,1850
38.3,278,3154
39.2,111,1564
39.3,194,2629
40.2,352,3632
41.1,289,3096
42.1,209,1945
43.2,151,1533
44.1,371,5694
45.1,379,4249
46.1,121,1344
47.1,344,3886
48.1,296,3607
49.1,327,3883
50.1,88,1352
51.2,181,1908
52.1,286,3860
53.1,218,2942
54.2,446,4008
55.1,220,2911
56.2,110,1859
57.1,267,2810
58.1,188,2498
59.1,232,3799
60.2,109,1140
60.4,106,1648
61.1,162,2292
62.1,144,2293
63.1,55,572
64.1,117,1794
65.1,304,2766
66.1,219,1578
67.1,114,2357
68.1,419,4099
681,29,363
69.1,235,2980
70.1,223,2862
71.1,238,3858
ABBOTTS,67,568
ALBRIGHT,451,4698
ALTAMONT,74,841
ANSONVILLE,86,914
AURORA,68,910
BANNER ELK,165,2004
BEAVER DAM,250,2621
BEECH MOUNTAIN,54,891
BELHAVEN,103,1293
BELVILLE 1,771,8797
BELVILLE 2,366,6518
BETHEL,540,6459
BETHLEHEM #1,226,2779
BETHLEHEM #2,297,3320
BLADENBORO #1,99,1290
BLADENBORO #2,235,2093
BLOUNTS CREEK,45,825
BOILING SPRING LAKES,455,5194
BOLIVIA,197,2714
BOONE 5,1092,4089
BROWN MARSH,91,893
BRUNSWICK FOREST,174,6755
BURLINGTON 10,158,1537
BURLINGTON 4,150,1570
BURLINGTON 5,115,1757
BURLINGTON 6,120,1676
BURLINGTON 7,517,3666
BURLINGTON 8,206,1563
BURLINGTON 9,135,1629
BURNSVILLE,312,4024
CAREYS FLAT,9,93
CARVERS CREEK,81,1088
CENTRAL,72,568
CENTRAL BOONE,210,2214
CHERRY LANE,74,1241
CHOCOWINITY,362,3444
CLIFTON,103,1135
COBLE,377,3636
COLERAIN 1,47,735
COLERAIN 2,63,1066
COLLY,109,1500
CRANBERRY,27,287
CRESTON,33,443
