GEOID,total_pop,male_pop,female_pop,white_pop,black_pop,native_pop,asian_pop,pacific_pop,other_pop,multiracial_pop,hispanic_pop,under_18,age_18_24,age_25_34,age_35_44,age_45_64,age_65_plus
370630001011,1478,725,753,639,350,15,21,1,300,152,409,261,122,169,342,391,193
370630001012,1804,859,945,394,949,5,17,0,323,116,415,412,168,171,284,524,245
370630001021,2374,1201,1173,498,872,29,28,0,737,210,950,497,203,313,411,709,241
370630001022,741,320,421,561,68,5,8,0,35,64,82,119,28,86,214,180,114
370630001023,655,300,355,417,138,3,7,0,47,43,85,125,43,56,147,188,96
370630001024,660,320,340,226,196,0,22,0,160,56,201,135,34,93,141,204,53
370630002001,886,401,485,362,336,9,4,2,119,54,183,100,56,100,192,312,126
370630002002,1058,574,484,495,296,6,26,1,101,133,203,179,44,195,257,272,111
370630002003,949,463,486,655,125,8,15,3,45,98,116,160,46,115,182,298,148
370630003011,1084,492,592,469,334,20,38,0,151,72,220,175,52,235,249,272,101
370630003012,749,353,396,346,213,9,35,0,75,71,120,94,55,170,177,160,93
370630003013,811,401,410,569,112,1,26,0,29,74,99,129,38,202,160,204,78
370630003021,874,424,450,693,61,1,22,0,19,78,68,164,43,84,182,258,143
370630003022,1122,518,604,710,120,22,21,0,145,104,241,219,66,215,229,276,117
370630003023,1676,817,859,1078,199,22,55,0,145,177,285,288,92,323,316,462,195
370630004011,908,440,468,657,56,8,16,0,94,77,142,168,40,108,192,238,162
370630004012,986,480,506,820,30,1,31,0,17,87,49,238,59,52,182,256,199
370630004013,670,292,378,551,30,1,16,0,12,60,46,113,33,97,117,171,139
370630004021,1451,647,804,1045,78,8,99,0,89,132,173,159,108,392,337,303,152
370630004022,1515,729,786,1039,39,3,267,0,42,125,141,58,105,827,369,88,68
370630005001,950,501,449,442,134,6,175,0,135,58,154,52,340,333,119,46,60
370630005002,883,402,481,563,144,6,60,0,39,71,88,144,61,260,150,156,112
370630005003,1176,557,619,352,554,3,112,0,95,60,114,170,69,326,215,277,119
370630005004,1183,526,657,247,650,13,60,0,130,83,188,277,112,163,222,273,136
370630006001,669,330,339,567,10,0,34,0,8,50,34,133,42,33,79,231,151
370630006002,2123,1069,1054,820,455,21,88,0,517,222,722,457,178,349,398,511,230
370630017101,1877,933,944,336,801,19,35,0,499,187,689,475,191,235,333,444,199
370630017095,1170,493,677,341,684,4,24,0,64,53,98,255,68,121,114,275,337
370630017096,2081,873,1208,281,1504,14,51,0,143,88,201,637,243,275,329,431,166
370630017097,1009,499,510,120,408,16,11,0,271,183,481,265,120,121,135,229,139
370630017102,1661,770,891,479,679,10,96,1,237,159,362,398,138,177,263,484,201
370630017103,1108,495,613,442,426,9,21,5,117,88,211,234,63,112,162,308,229
370630017111,2120,993,1127,541,944,21,34,0,450,130,570,459,200,316,331,581,233
370630018083,2086,1009,1077,847,878,2,132,0,96,131,166,478,145,230,406,590,237
370630017112,1469,631,838,342,772,7,29,1,216,102,293,262,111,213,253,431,199
370630017113,1159,542,617,446,384,1,61,0,182,85,258,189,82,276,232,258,122
370630017121,951,359,592,870,20,0,20,0,2,39,40,340,25,22,35,69,460
370630017122,1148,508,640,830,87,1,133,0,9,88,61,186,54,150,128,284,346
370630017123,934,440,494,704,88,0,39,0,32,71,80,146,43,84,154,258,249
370630017124,1117,542,575,882,115,2,32,0,16,70,49,247,69,56,146,369,230
