precinct_id,registered_rep,voted_rep_2024,rep_turnout,registered_dem,voted_dem_2024,dem_turnout,registered_una,voted_una_2024,una_turnout,rep_minus_dem,rep_minus_una,dem_minus_una
ALAMANCE_01,2002,1706,0.8521478521478522,493,392,0.795131845841785,1277,900,0.7047768206734534,0.05701600630606718,0.14737103147439878,0.0903550251683316
ALAMANCE_02,2100,1790,0.8523809523809524,483,403,0.8343685300207039,1338,1019,0.7615844544095666,0.01801242236024847,0.09079649797138578,0.07278407561113731
ALAMANCE_035,1472,1226,0.8328804347826086,1402,1044,0.7446504992867332,1781,1231,0.6911847276810781,0.08822993549587543,0.14169570710153057,0.05346577160565513
ALAMANCE_03C,942,813,0.8630573248407644,576,487,0.8454861111111112,894,675,0.7550335570469798,0.0175712137296532,0.10802376779378453,0.09045255406413133
ALAMANCE_03N,1084,901,0.8311808118081181,1203,793,0.6591853699085619,1371,921,0.6717724288840262,0.17199544189955618,0.15940838292409187,-0.012587058975464305
ALAMANCE_03N2,186,164,0.8817204301075269,270,240,0.8888888888888888,293,256,0.8737201365187713,-0.007168458781361964,0.008000293588755536,0.0151687523701175
ALAMANCE_03SE,1168,900,0.7705479452054794,1336,953,0.7133233532934131,1639,993,0.6058572300183038,0.0572245919120663,0.1646907151871756,0.1074661232751093
ALAMANCE_03SM,1149,925,0.8050478677110531,1173,906,0.7723785166240409,1795,1239,0.6902506963788301,0.03266935108701219,0.114797171332223,0.08212782024521081
ALAMANCE_03W,1120,933,0.8330357142857143,797,634,0.795483061480552,1238,902,0.72859450726979,0.03755265280516229,0.1044412070159243,0.06688855421076201
ALAMANCE_04,2144,1853,0.8642723880597015,696,574,0.8247126436781609,1314,968,0.7366818873668188,0.03955974438154064,0.1275905006928827,0.08803075631134205
ALAMANCE_05,1438,1262,0.8776077885952712,389,333,0.8560411311053985,903,692,0.7663344407530454,0.021566657489872743,0.11127334784222587,0.08970669035235312
ALAMANCE_063,507,377,0.7435897435897436,1135,821,0.7233480176211454,1010,488,0.48316831683168315,0.02024172596859819,0.26042142675806046,0.24017970078946227
ALAMANCE_064,1737,1464,0.842832469775475,1392,1143,0.8211206896551724,1971,1423,0.7219685438863521,0.021711780120302615,0.12086392588912287,0.09915214576882025
ALAMANCE_06E,630,503,0.7984126984126985,852,615,0.721830985915493,933,559,0.5991425509110396,0.07658171249720547,0.19927014750165883,0.12268843500445337
ALAMANCE_06N,455,342,0.7516483516483516,1103,755,0.6844968268359021,936,436,0.4658119658119658,0.06715152481244957,0.2858363858363858,0.21868486102393625
ALAMANCE_06S,1170,938,0.8017094017094017,1210,918,0.7586776859504132,1458,968,0.663923182441701,0.043031715758988565,0.13778621926770074,0.09475450350871217
ALAMANCE_06W,282,209,0.7411347517730497,416,272,0.6538461538461539,462,258,0.5584415584415584,0.0872885979268958,0.18269319333149125,0.09540459540459545
ALAMANCE_07,1654,1419,0.8579201934703748,498,405,0.8132530120481928,1159,843,0.727351164797239,0.04466718142218207,0.1305690286731358,0.08590184725095373
ALAMANCE_08N,1210,984,0.8132231404958677,707,567,0.801980198019802,1146,850,0.7417102966841187,0.01124294247606572,0.07151284381174905,0.06026990133568333
ALAMANCE_08S,748,604,0.8074866310160428,308,251,0.814935064935065,563,408,0.7246891651865008,-0.007448433919022168,0.08279746582954195,0.09024589974856412
ALAMANCE_09N,854,708,0.8290398126463701,846,673,0.7955082742316785,1002,735,0.7335329341317365,0.033531538414691586,0.09550687851463358,0.06197534009994199
ALAMANCE_09S,1795,1499,0.8350974930362117,1326,1081,0.8152337858220211,1977,1382,0.6990389479008599,0.019863707214190618,0.13605854513535187,0.11619483792116125
ALAMANCE_103,1516,1262,0.8324538258575198,1352,1079,0.7980769230769231,1993,1323,0.6638233818364275,0.034376902780596685,0.16863044402109229,0.1342535412404956
ALAMANCE_104,482,374,0.7759336099585062,851,670,0.7873090481786134,953,639,0.670514165792235,-0.011375438220107115,0.10541944416627125,0.11679488238637836
ALAMANCE_10N,1228,1044,0.8501628664495114,959,785,0.8185610010427529,1452,1091,0.7513774104683195,0.03160186540675858,0.09878545598119193,0.06718359057443335
ALAMANCE_10S1,1522,1214,0.797634691195795,2252,1717,0.7624333925399644,2570,1706,0.6638132295719844,0.03520129865583055,0.1338214616238106,0.09862016296798004
ALAMANCE_11,1161,983,0.8466838931955211,1339,1068,0.7976101568334578,1235,824,0.6672064777327935,0.04907373636206325,0.17947741546272755,0.1304036791006643
ALAMANCE_1210,497,395,0.7947686116700201,685,460,0.6715328467153284,736,400,0.5434782608695652,0.12323576495469168,0.2512903508004549,0.12805458584576324
ALAMANCE_124,513,418,0.8148148148148148,578,445,0.7698961937716263,701,454,0.6476462196861626,0.044918621043188445,0.16716859512865212,0.12224997408546368
ALAMANCE_125,666,550,0.8258258258258259,535,424,0.7925233644859813,748,528,0.7058823529411765,0.0333024613398446,0.11994347288464935,0.08664101154480475
ALAMANCE_126,674,587,0.870919881305638,433,382,0.8822170900692841,674,542,0.8041543026706232,-0.011297208763646038,0.06676557863501487,0.0780627873986609
ALAMANCE_127,712,508,0.7134831460674157,2151,1549,0.7201301720130172,1526,763,0.5,-0.006647025945601515,0.2134831460674157,0.2201301720130172
ALAMANCE_128,327,203,0.6207951070336392,880,549,0.6238636363636364,813,372,0.4575645756457565,-0.0030685293299972383,0.16323053138788268,0.16629906071787992
ALAMANCE_129,721,618,0.8571428571428571,419,329,0.7852028639618138,642,449,0.6993769470404985,0.07193999318104327,0.15776591010235863,0.08582591692131536
ALAMANCE_12E,290,200,0.6896551724137931,718,455,0.6337047353760445,635,284,0.44724409448818897,0.0559504370377486,0.24241107792560418,0.18646064088785558
ALAMANCE_12N,337,218,0.6468842729970327,1979,1381,0.6978271854471956,1100,499,0.4536363636363636,-0.050942912450162914,0.19324790936066905,0.24419082181083196
ALAMANCE_12S,240,163,0.6791666666666667,503,332,0.6600397614314115,533,244,0.45778611632270166,0.019126905235255176,0.22138055034396503,0.20225364510870986
ALAMANCE_12W,502,410,0.8167330677290837,700,536,0.7657142857142857,773,532,0.6882276843467011,0.051018782014798036,0.1285053833823826,0.07748660136758456
ALAMANCE_13,1015,814,0.8019704433497536,1509,1143,0.757455268389662,1424,813,0.5709269662921348,0.04451517496009161,0.23104347705761885,0.18652830209752724
ALEXANDER_B1,1581,1348,0.8526249209361164,336,261,0.7767857142857143,1100,830,0.7545454545454545,0.07583920665040211,0.0980794663906619,0.022240259740259782
ALEXANDER_B2,1842,1578,0.8566775244299675,408,323,0.7916666666666666,1342,1008,0.7511177347242921,0.06501085776330084,0.10555978970567537,0.04054893194237452
ALEXANDER_E,1187,1018,0.8576242628475147,372,315,0.8467741935483871,828,629,0.7596618357487923,0.010850069299127574,0.09796242709872238,0.08711235779959481
ALEXANDER_G1G2,819,708,0.8644688644688645,245,200,0.8163265306122449,532,403,0.7575187969924813,0.04814233385661959,0.10695006747638325,0.05880773361976366
ALEXANDER_LRSL,990,863,0.8717171717171717,234,178,0.7606837606837606,633,497,0.7851500789889415,0.11103341103341102,0.08656709272823015,-0.024466318305180867
ALEXANDER_M,863,698,0.8088064889918888,278,217,0.7805755395683454,688,468,0.6802325581395349,0.028230949423543428,0.1285739308523539,0.10034298142881048
ALEXANDER_S1S2,1322,1084,0.8199697428139183,421,314,0.7458432304038005,1051,719,0.6841103710751665,0.0741265124101178,0.13585937173875184,0.06173285932863404
ALEXANDER_T1T4T5,1888,1560,0.826271186440678,581,426,0.7332185886402753,1458,1007,0.6906721536351166,0.09305259780040265,0.1355990328055614,0.042546435005158756
ALEXANDER_T2T3,1225,994,0.8114285714285714,532,411,0.7725563909774437,1038,717,0.6907514450867052,0.038872180451127725,0.12067712634186623,0.0818049458907385
ALEXANDER_W,1009,870,0.8622398414271556,190,151,0.7947368421052632,632,498,0.7879746835443038,0.06750299932189241,0.07426515788285182,0.006762158560959408
ALLEGHANY_01,617,510,0.826580226904376,206,171,0.8300970873786407,543,406,0.7476979742173112,-0.0035168604742646936,0.07888225268706484,0.08239911316132953
ALLEGHANY_03A,1546,1251,0.8091849935316947,747,596,0.7978580990629184,1401,990,0.7066381156316917,0.011326894468776327,0.10254687790000305,0.09121998343122673
ALLEGHANY_04,683,545,0.7979502196193266,227,181,0.7973568281938326,543,401,0.7384898710865562,0.0005933914254939721,0.05946034853277038,0.05886695710727641
ALLEGHANY_06A,784,641,0.8176020408163265,304,262,0.8618421052631579,580,454,0.7827586206896552,-0.04424006444683137,0.0348434201266713,0.07908348457350267
ANSON_ANS,275,229,0.8327272727272728,441,334,0.7573696145124716,313,219,0.6996805111821086,0.07535765821480112,0.13304676154516415,0.057689103330363034
ANSON_BURN,577,470,0.8145580589254766,323,250,0.7739938080495357,506,374,0.7391304347826086,0.040564250875940955,0.07542762414286797,0.03486337326692701
ANSON_GULL,197,152,0.7715736040609137,530,383,0.7226415094339622,314,194,0.6178343949044586,0.04893209462695147,0.15373920915645511,0.10480711452950364
ANSON_LILE,398,297,0.7462311557788944,1211,914,0.7547481420313791,614,392,0.6384364820846905,-0.008516986252484648,0.10779467369420392,0.11631165994668857
ANSON_MM,122,86,0.7049180327868853,759,545,0.7180500658761528,279,150,0.5376344086021505,-0.01313203308926758,0.16728362418473475,0.18041565727400233
ANSON_PEAC,511,423,0.8277886497064579,313,231,0.7380191693290735,485,345,0.711340206185567,0.08976948037738441,0.1164484435208909,0.026678963143506484
ANSON_POLK,242,183,0.756198347107438,381,237,0.6220472440944882,312,185,0.592948717948718,0.13415110301294986,0.1632496291587201,0.029098526145770243
ANSON_WADES,977,681,0.6970317297850563,3562,2192,0.6153846153846154,1930,1019,0.5279792746113989,0.08164711440044092,0.1690524551736574,0.08740534077321649
ANSON_WS,123,103,0.8373983739837398,123,81,0.6585365853658537,101,68,0.6732673267326733,0.17886178861788615,0.16413104725106653,-0.014730741366819622
ASHE_02,640,523,0.8171875,177,134,0.7570621468926554,442,319,0.7217194570135747,0.06012535310734457,0.0954680429864253,0.035342689879080735
ASHE_03,274,220,0.8029197080291971,44,39,0.8863636363636364,166,112,0.6746987951807228,-0.08344392833443925,0.12822091284847426,0.2116648411829135
ASHE_04,201,162,0.8059701492537313,91,77,0.8461538461538461,214,168,0.7850467289719626,-0.04018369690011481,0.020923420281768745,0.06110711718188355
ASHE_06,241,195,0.8091286307053942,61,48,0.7868852459016393,188,137,0.7287234042553191,0.022243384803754873,0.08040522645007508,0.05816184164632021
ASHE_07,171,141,0.8245614035087719,74,57,0.7702702702702703,124,83,0.6693548387096774,0.054291133238501654,0.15520656479909456,0.1009154315605929
ASHE_08,98,77,0.7857142857142857,34,27,0.7941176470588235,77,53,0.6883116883116883,-0.008403361344537785,0.09740259740259738,0.10580595874713516
ASHE_09,1544,1218,0.788860103626943,617,481,0.779578606158833,1399,1027,0.73409578270193,0.009281497468110023,0.054764320925013044,0.04548282345690302
ASHE_10,128,90,0.703125,27,23,0.8518518518518519,85,56,0.6588235294117647,-0.14872685185185186,0.0443014705882353,0.19302832244008716
ASHE_11,894,728,0.814317673378076,331,269,0.8126888217522659,818,632,0.7726161369193154,0.0016288516258101682,0.041701536458760624,0.040072684832950456
ASHE_12,340,271,0.7970588235294118,106,91,0.8584905660377359,182,134,0.7362637362637363,-0.06143174250832406,0.06079508726567551,0.12222682977399957
ASHE_13,596,472,0.7919463087248322,166,135,0.8132530120481928,451,358,0.7937915742793792,-0.0213067033233606,-0.0018452655545470042,0.019461437768813594
ASHE_14,1079,897,0.8313253012048193,424,347,0.8183962264150944,846,678,0.8014184397163121,0.012929074789724937,0.029906861488507186,0.01697778669878225
ASHE_15,465,389,0.8365591397849462,120,96,0.8,360,257,0.7138888888888889,0.03655913978494618,0.12267025089605732,0.08611111111111114
ASHE_16,1080,891,0.825,366,300,0.819672131147541,820,632,0.7707317073170732,0.00532786885245895,0.054268292682926766,0.048940423830467816
