precinct_id,registered_total,registered_youth
ALAMANCE_01,3468,346
ALAMANCE_02,3636,377
ALAMANCE_035,4089,1092
ALAMANCE_03C,2214,210
ALAMANCE_03N,2978,918
ALAMANCE_03N2,721,11
ALAMANCE_03SE,3423,308
ALAMANCE_03SM,3562,352
ALAMANCE_03W,2832,271
ALAMANCE_04,3828,377
ALAMANCE_05,2531,233
ALAMANCE_063,2177,371
ALAMANCE_064,4623,451
ALAMANCE_06E,2025,191
ALAMANCE_06N,2015,260
ALAMANCE_06S,3373,312
ALAMANCE_06W,942,94
ALAMANCE_07,3046,292
ALAMANCE_08N,2792,288
ALAMANCE_08S,1445,143
ALAMANCE_09N,2401,199
ALAMANCE_09S,4592,443
ALAMANCE_103,4484,457
ALAMANCE_104,1954,186
ALAMANCE_10N,3322,300
ALAMANCE_10S1,5441,614
ALAMANCE_11,3324,340
ALAMANCE_1210,1537,158
ALAMANCE_124,1570,150
ALAMANCE_125,1757,115
ALAMANCE_126,1676,120
ALAMANCE_127,3666,517
ALAMANCE_128,1563,206
ALAMANCE_129,1629,135
ALAMANCE_12E,1302,190
ALAMANCE_12N,2765,350
ALAMANCE_12S,987,183
ALAMANCE_12W,1709,139
ALAMANCE_13,3369,384
ALEXANDER_B1,2779,226
ALEXANDER_B2,3320,297
ALEXANDER_E,2230,190
ALEXANDER_G1G2,1482,150
ALEXANDER_LRSL,1731,161
ALEXANDER_M,1628,195
ALEXANDER_S1S2,2498,266
ALEXANDER_T1T4T5,3571,339
ALEXANDER_T2T3,2507,233
ALEXANDER_W,1707,149
ALLEGHANY_01,1241,74
ALLEGHANY_03A,3311,247
ALLEGHANY_04,1295,106
ALLEGHANY_06A,1542,103
ANSON_ANS,914,86
ANSON_BURN,1267,113
ANSON_GULL,893,88
ANSON_LILE,1939,159
ANSON_MM,974,93
ANSON_PEAC,1173,111
ANSON_POLK,773,88
ANSON_WADES,5053,479
ANSON_WS,303,33
ASHE_02,1135,103
ASHE_03,443,33
ASHE_04,468,28
ASHE_06,435,34
ASHE_07,328,25
ASHE_08,190,13
ASHE_09,3176,265
ASHE_10,212,21
ASHE_11,1857,165
ASHE_12,558,33
ASHE_13,1105,80
ASHE_14,2141,139
ASHE_15,847,53
ASHE_16,2041,149
ASHE_17,699,58
ASHE_18,135,7
ASHE_20,2729,214
AVERY_01,841,74
