pums_code,all_persons,youth_18_25_total,youth_18_25_cit,youth_18_25_noncit,not_youth_26_99_total,not_youth_26_99_cit,not_youth_26_99_noncit,minor_0_17_total,minor_0_17_cit,minor_0_17_noncit
00100,133400,23998,23629,369,89587,87424,2163,19815,19775,40
00200,148581,13238,12832,406,105306,101293,4013,30037,29486,551
00300,137229,11175,10988,187,99013,97036,1977,27041,26776,265
00400,122430,10998,10673,325,86555,83632,2923,24877,24719,158
00500,116860,10870,10459,411,79617,76226,3391,26373,25942,431
00600,103230,9247,9104,143,73706,71939,1767,20277,20006,271
00700,119857,10286,10221,65,84505,83244,1261,25066,24859,207
00800,152161,11392,11259,133,113081,110280,2801,27688,27515,173
00900,144920,13224,13008,216,99318,96238,3080,32378,32218,160
01001,157121,14560,13939,621,106251,99876,6375,36310,36145,165
01101,177009,17412,16476,936,115642,108090,7552,43955,43107,848
01201,152392,34319,31778,2541,92751,85185,7566,25322,24129,1193
01202,142348,13968,12921,1047,100987,90466,10521,27393,25979,1414
01203,146007,12875,11920,955,95621,89091,6530,37511,36747,764
01204,152086,12800,12088,712,102161,90877,11284,37125,36272,853
01205,140422,11394,10884,510,95738,88780,6958,33290,32896,394
01206,141919,12800,11921,879,97022,86454,10568,32097,30447,1650
01207,137014,11901,10807,1094,96464,86577,9887,28649,26502,2147
01208,166606,11568,11088,480,105207,92191,13016,49831,47366,2465
01301,184137,24647,21951,2696,124456,113669,10787,35034,33170,1864
01302,148647,14506,12519,1987,102601,91458,11143,31540,29478,2062
01400,150000,29547,28377,1170,92204,84527,7677,28249,27387,862
01500,145990,12139,10923,1216,102757,94860,7897,31094,29828,1266
01600,176437,19892,18683,1209,117337,108800,8537,39208,38215,993
01701,138233,17172,16465,707,90983,84412,6571,30078,28326,1752
01702,122472,25026,23903,1123,73244,66629,6615,24202,23131,1071
01703,143110,11440,11147,293,96557,91520,5037,35113,34670,443
01704,143952,17266,16293,973,95421,88918,6503,31265,30063,1202
01801,110165,16143,15126,1017,68301,63628,4673,25721,25306,415
01802,132049,15910,15132,778,87158,78460,8698,28981,27245,1736
01803,147470,11239,10596,643,102587,98664,3923,33644,33162,482
01900,107921,9537,9113,424,76069,72739,3330,22315,21969,346
02000,116936,9938,9661,277,83950,81765,2185,23048,22911,137
02100,132642,11253,11084,169,96596,93903,2693,24793,24370,423
02201,134650,13548,13179,369,98520,94433,4087,22582,22086,496
02202,139586,11774,11213,561,101463,97663,3800,26349,25934,415
02300,106571,8746,8654,92,78547,77246,1301,19278,19211,67
02400,122771,14449,14226,223,87843,85133,2710,20479,20313,166
02500,152136,11379,11066,313,113337,108042,5295,27420,26972,448
02600,135626,12312,12253,59,95293,93605,1688,28021,27810,211
02700,142655,12177,11815,362,100740,98303,2437,29738,29472,266
02800,163662,15922,15379,543,112342,108273,4069,35398,34883,515
02900,170330,15653,15147,506,116268,111267,5001,38409,37985,424
03001,111815,9741,9445,296,77751,75040,2711,24323,23656,667
03002,123033,11509,11009,500,83135,79465,3670,28389,27622,767
03101,132813,18749,16905,1844,89055,77476,11579,25009,22610,2399
03102,129251,13361,12065,1296,84206,73886,10320,31684,29771,1913
03103,123225,22949,19937,3012,73198,58015,15183,27078,23932,3146
03104,155957,10294,9491,803,108786,100166,8620,36877,34776,2101
03105,129646,16432,13491,2941,84949,72145,12804,28265,24012,4253
03106,182469,16199,15596,603,125371,117506,7865,40899,39759,1140
03107,146062,15430,14543,887,96975,86865,10110,33657,32052,1605
03108,155015,12565,11127,1438,102226,88265,13961,40224,37396,2828
03200,174444,16043,15205,838,114220,104254,9966,44181,42452,1729
03300,126297,11965,11514,451,85194,82455,2739,29138,29016,122
03400,149987,15156,14427,729,101563,96574,4989,33268,32981,287
03500,173095,15537,15052,485,120078,115226,4852,37480,37052,428
03600,146415,13446,13078,368,100423,93796,6627,32546,32337,209
03700,130950,9649,9268,381,93182,89942,3240,28119,27854,265
03800,139033,13629,13049,580,90020,85885,4135,35384,34906,478
03900,108717,10696,10109,587,71722,64327,7395,26299,25425,874
04000,118740,13549,12806,743,77228,71992,5236,27963,26946,1017
04101,113580,9915,9822,93,73277,71412,1865,30388,30152,236
04200,177234,35086,34110,976,104885,100027,4858,37263,36898,365
04300,172176,18197,17910,287,120643,118055,2588,33336,33211,125
04501,158910,41777,40934,843,81806,80203,1603,35327,35269,58
04601,127309,11687,11214,473,88269,84293,3976,27353,26892,461
04701,173544,25948,25102,846,118138,114115,4023,29458,28951,507
04800,152592,9048,8995,53,122119,120122,1997,21425,21336,89
04900,196772,21309,20583,726,128819,123998,4821,46644,45915,729
05001,108773,14218,13721,497,69537,66463,3074,25018,24185,833
05002,119847,23419,23018,401,66830,64933,1897,29598,29318,280
05003,109922,11958,11637,321,67603,65264,2339,30361,29869,492
05200,129820,12661,12358,303,84918,81958,2960,32241,32097,144
05301,120084,14345,13269,1076,79324,74114,5210,26415,25684,731
05401,153137,13800,13401,399,97083,90814,6269,42254,40927,1327
