County	Election Date	Precinct	Contest Group ID	Contest Type	Contest Name	Choice	Choice Party	Vote For	Election Day	Early Voting	Absentee by Mail	Provisional	Total Votes	Real Precinct
MECKLENBURG	09/09/2025	027	2	C	CITY OF CHARLOTTE MAYOR (DEM)	Delter Kenny Guin III	DEM	1	5	0	0	0	5	Y
MECKLENBURG	09/09/2025	027	2	C	CITY OF CHARLOTTE MAYOR (DEM)	Jaraun (Gemini) Boyd	DEM	1	12	12	0	0	24	Y
MECKLENBURG	09/09/2025	027	2	C	CITY OF CHARLOTTE MAYOR (DEM)	Tigress Sydney Acute McDaniel	DEM	1	11	2	0	0	13	Y
MECKLENBURG	09/09/2025	027	2	C	CITY OF CHARLOTTE MAYOR (DEM)	Vi Lyles	DEM	1	69	31	0	0	100	Y
MECKLENBURG	09/09/2025	027	10	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Dimple Ajmera	DEM	4	78	39	0	0	117	Y
MECKLENBURG	09/09/2025	027	10	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Emerson Stoldt	DEM	4	12	3	0	0	15	Y
MECKLENBURG	09/09/2025	027	10	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	J. G. Lockhart	DEM	4	22	9	0	0	31	Y
MECKLENBURG	09/09/2025	027	10	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	James (Smuggie) Mitchell, Jr.	DEM	4	62	34	0	0	96	Y
MECKLENBURG	09/09/2025	027	10	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	LaWana Slack-Mayfield	DEM	4	65	37	0	0	102	Y
MECKLENBURG	09/09/2025	027	10	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Matt Britt	DEM	4	18	7	0	0	25	Y
MECKLENBURG	09/09/2025	027	10	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Namrata (N.Y.) Yadav	DEM	4	30	10	0	0	40	Y
MECKLENBURG	09/09/2025	027	10	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Roderick Davis	DEM	4	27	5	0	0	32	Y
MECKLENBURG	09/09/2025	027	10	C	CITY OF CHARLOTTE CITY COUNCIL AT-LARGE (DEM)	Victoria Watlington	DEM	4	50	31	0	0	81	Y
