GEOID,NAME,STATE,COUNTY,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,C_TOT24,CTOTMOE,C_NHS24,CNHSMOE,C_AMI24,CAMIMOE,C_ASI24,CASIMOE,C_BLA24,CBLAMOE,C_NHP24,CNHPMOE,C_WHT24,CWHTMOE,C_AIW24,CAIWMOE,C_ASW24,CASWMOE,C_BLW24,CBLWMOE,C_AIB24,CAIBMOE,C_2OM24,C2OMMOE,C_HSP24,CHSPMOE,C_AIA24,CAIAMOE,C_ASN24,CASNMOE,C_BLK24,CBLKMOE,CVAP_TOT24,CVAPTOTMOE,CVAP_NHS24,CVAPNHSMOE,CVAP_AMI24,CVAPAMIMOE,CVAP_ASI24,CVAPASIMOE,CVAP_BLA24,CVAPBLAMOE,CVAP_NHP24,CVAPNHPMOE,CVAP_WHT24,CVAPWHTMOE,CVAP_AIW24,CVAPAIWMOE,CVAP_ASW24,CVAPASWMOE,CVAP_BLW24,CVAPBLWMOE,CVAP_AIB24,CVAPAIBMOE,CVAP_2OM24,CVAP2OMMOE,CVAP_HSP24,CVAPHSPMOE,CVAP_AIA24,CVAPAIAMOE,CVAP_ASN24,CVAPASNMOE,CVAP_BLK24,CVAPBLKMOE
370010201001,"Block Group 1, Census Tract 201, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000201,1,1113,251,1050,244,0,14,0,14,109,110,8,18,841,172,0,14,49,76,43,85,0,14,0,14,63,85,0,24.25,49,77.28,152,139.72,974,183,905,183,0,14,0,14,109,110,11,18,781,156,0,14,0,14,4,8,0,14,0,14,69,85,0,24.25,0,19.8,113,111.18
370010201002,"Block Group 2, Census Tract 201, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000201,2,1483,427,1437,414,0,14,0,14,317,327,0,14,1099,331,0,14,21,34,0,14,0,14,0,14,46,59,0,24.25,21,36.77,317,327.6,1311,416,1257,404,0,14,0,14,315,327,0,14,924,310,0,14,18,19,0,14,0,14,0,14,54,59,0,24.25,18,23.6,315,327.6
370010201003,"Block Group 3, Census Tract 201, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000201,3,650,298,563,244,0,14,0,14,374,235,0,14,148,93,0,14,0,14,41,58,0,14,0,14,87,116,0,24.25,0,19.8,415,242.46,342,126,320,113,0,14,0,14,160,82,0,14,150,93,0,14,0,14,10,18,0,14,0,14,22,38,0,24.25,0,19.8,170,85.11
370010201004,"Block Group 4, Census Tract 201, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000201,4,643,316,560,272,0,14,0,14,154,136,0,14,373,216,0,14,0,14,17,21,4,8,12,15,83,125,4,21.35,0,19.8,175,137.84,561,281,529,269,0,14,0,14,157,136,0,14,348,212,0,14,0,14,14,21,0,14,10,15,32,51,0,24.25,0,19.8,171,138.32
370010202001,"Block Group 1, Census Tract 202, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000202,1,1728,566,1127,520,0,14,0,14,838,512,0,14,238,106,0,14,0,14,51,83,0,14,0,14,601,336,0,24.25,0,19.8,889,518.87,1193,386,794,386,0,14,0,14,574,348,0,14,170,60,0,14,0,14,50,83,0,14,0,14,399,254,0,24.25,0,19.8,624,358.03
370010202002,"Block Group 2, Census Tract 202, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000202,2,275,184,246,175,0,14,0,14,123,140,4,8,113,118,6,17,0,14,0,14,0,14,0,14,29,38,6,26.1,0,19.8,123,141.39,218,129,203,125,0,14,0,14,84,63,0,14,111,118,8,10,0,14,0,14,0,14,0,14,15,24,8,22.18,0,19.8,84,66.04
370010202003,"Block Group 3, Census Tract 202, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000202,3,586,472,271,310,0,14,38,60,147,298,0,14,86,51,0,14,0,14,0,14,0,14,0,14,315,364,0,24.25,38,61.61,147,298.66,322,304,273,310,0,14,38,60,144,298,0,14,81,47,0,14,4,8,0,14,6,13,0,14,49,51,6,23.69,42,60.53,150,298.61
370010202004,"Block Group 4, Census Tract 202, Alamance County, North Carolina",North Carolina,Alamance County,37,001,000202,4,1159,486,1020,442,0,14,0,14,614,426,0,14,395,172,11,21,0,14,0,14,0,14,0,14,139,147,11,28.86,0,19.8,614,426.46,946,422,900,403,0,14,0,14,576,408,0,14,310,134,14,21,0,14,0,14,0,14,0,14,46,60,14,28.86,0,19.8,576,408.48
370010203011,"Block Group 1, Census Tract 203.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020301,1,1064,405,514,259,0,14,0,14,334,240,0,14,180,135,0,14,0,14,0,14,0,14,0,14,550,430,0,24.25,0,19.8,334,240.82,710,245,512,260,0,14,0,14,336,240,0,14,172,133,0,14,0,14,4,8,0,14,0,14,198,155,0,24.25,0,19.8,340,240.54
370010203012,"Block Group 2, Census Tract 203.01, Alamance County, North Carolina",North Carolina,Alamance County,37,001,020301,2,1144,378,643,264,0,14,0,14,320,169,0,14,270,180,0,14,4,8,49,131,0,14,0,14,501,240,0,24.25,4,16.12,369,214.28,612,229,560,224,0,14,0,14,303,160,0,14,257,173,0,14,0,14,0,14,0,14,0,14,52,34,0,24.25,0,19.8,303,161.22
