county,age_band,vap,registered,voted_2024,reg_rate,turnout_rate,voted_of_vap,unreg,reg_not_voted
STATEWIDE,18-24,1015154,808481,512770,79.6,63.4,50.5,206673,295711
STATEWIDE,25-34,1438482,1326639,772166,92.2,58.2,53.7,111843,554473
STATEWIDE,35-44,1374188,1217897,844132,88.6,69.3,61.4,156291,373765
STATEWIDE,45-54,1351250,1123077,911014,83.1,81.1,67.4,228173,212063
STATEWIDE,55-64,1370847,1244375,1025237,90.8,82.4,74.8,126472,219138
STATEWIDE,65-74,1108123,1134363,920811,102.4,81.2,83.1,0,213552
STATEWIDE,75+,737440,919594,625014,124.7,68.0,84.8,0,294580
ALAMANCE,18-24,17970,13590,8906,75.6,65.5,49.6,4380,4684
ALAMANCE,25-34,22681,19774,11642,87.2,58.9,51.3,2907,8132
ALAMANCE,35-44,21510,18081,12951,84.1,71.6,60.2,3429,5130
ALAMANCE,45-54,22025,16593,13935,75.3,84.0,63.3,5432,2658
ALAMANCE,55-64,23145,19855,16725,85.8,84.2,72.3,3290,3130
ALAMANCE,65-74,17769,17535,14288,98.7,81.5,80.4,234,3247
ALAMANCE,75+,12584,14906,10615,118.5,71.2,84.4,0,4291
ALEXANDER,18-24,2488,2408,1715,96.8,71.2,68.9,80,693
ALEXANDER,25-34,4524,3638,2424,80.4,66.6,53.6,886,1214
ALEXANDER,35-44,4494,3450,2663,76.8,77.2,59.3,1044,787
ALEXANDER,45-54,4784,3732,3368,78.0,90.2,70.4,1052,364
ALEXANDER,55-64,5257,4725,4110,89.9,87.0,78.2,532,615
ALEXANDER,65-74,4355,4266,3581,98.0,83.9,82.2,89,685
ALEXANDER,75+,3366,3524,2509,104.7,71.2,74.5,0,1015
ALLEGHANY,18-24,643,594,408,92.4,68.7,63.5,49,186
ALLEGHANY,25-34,1147,968,586,84.4,60.5,51.1,179,382
ALLEGHANY,35-44,1035,831,622,80.3,74.8,60.1,204,209
ALLEGHANY,45-54,1331,1023,898,76.9,87.8,67.5,308,125
ALLEGHANY,55-64,1749,1477,1289,84.4,87.3,73.7,272,188
ALLEGHANY,65-74,2073,1749,1543,84.4,88.2,74.4,324,206
ALLEGHANY,75+,1360,1574,1080,115.7,68.6,79.4,0,494
ANSON,18-24,1716,1424,871,83.0,61.2,50.8,292,553
ANSON,25-34,3228,2488,1281,77.1,51.5,39.7,740,1207
ANSON,35-44,2778,2243,1321,80.7,58.9,47.6,535,922
ANSON,45-54,2729,2261,1657,82.9,73.3,60.7,468,604
ANSON,55-64,3017,2801,2215,92.8,79.1,73.4,216,586
ANSON,65-74,2555,2601,2038,101.8,78.4,79.8,0,563
ANSON,75+,1840,2165,1392,117.7,64.3,75.7,0,773
ASHE,18-24,1727,1579,984,91.4,62.3,57.0,148,595
ASHE,25-34,2746,2435,1661,88.7,68.2,60.5,311,774
ASHE,35-44,2948,2394,1887,81.2,78.8,64.0,554,507
ASHE,45-54,3317,2800,2334,84.4,83.4,70.4,517,466
ASHE,55-64,4324,3572,3252,82.6,91.0,75.2,752,320
ASHE,65-74,4284,4206,3510,98.2,83.5,81.9,78,696
ASHE,75+,3061,3738,2532,122.1,67.7,82.7,0,1206
AVERY,18-24,1594,969,625,60.8,64.5,39.2,625,344
AVERY,25-34,2116,1541,947,72.8,61.5,44.8,575,594
AVERY,35-44,2156,1443,1110,66.9,76.9,51.5,713,333
AVERY,45-54,2487,1664,1422,66.9,85.5,57.2,823,242
AVERY,55-64,2593,2093,1804,80.7,86.2,69.6,500,289
AVERY,65-74,2464,2464,2014,100.0,81.7,81.7,0,450
AVERY,75+,1716,2297,1429,133.9,62.2,83.3,0,868
BEAUFORT,18-24,3216,3008,1836,93.5,61.0,57.1,208,1172
BEAUFORT,25-34,4336,4045,2441,93.3,60.3,56.3,291,1604
BEAUFORT,35-44,4885,3976,2818,81.4,70.9,57.7,909,1158
BEAUFORT,45-54,5309,4384,3774,82.6,86.1,71.1,925,610
