county_desc,precinct_abbrv,precinct_desc,reg_total,reg_active,reg_inactive,party_dem,party_rep,party_unaf,party_lib,party_other,race_white,race_black,race_asian,race_aian,eth_hispanic,gender_male,gender_female,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75plus,total_votes_g2024,total_votes_g2020,total_votes_g2018,turnout_rate_g2024,turnout_rate_g2020,turnout_rate_g2018,pop_total,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two_more,pop_hispanic,pop_white_nonhisp,vap_total,vap_white,vap_black,vap_aian,vap_asian,vap_hispanic,vap_white_nonhisp,pop_nonwhite,pct_white,pct_black,pct_hispanic,pct_asian,pct_nonwhite,vap_pct,pop_18_24,est_vap_youth,pop_25_34,pop_35_44,pop_45_54,pop_55_64,pop_65_74,pop_75plus,pct_18_24,pct_65plus,tv_18_24_p2026,tv_25_34_p2026,tv_35_44_p2026,tv_45_54_p2026,tv_55_64_p2026,tv_65_74_p2026,tv_75plus_p2026,tv_total_p2026,tv_18_24_g2025,tv_25_34_g2025,tv_35_44_g2025,tv_45_54_g2025,tv_55_64_g2025,tv_65_74_g2025,tv_75plus_g2025,tv_total_g2025,tv_18_24_g2024,tv_25_34_g2024,tv_35_44_g2024,tv_45_54_g2024,tv_55_64_g2024,tv_65_74_g2024,tv_75plus_g2024,tv_total_g2024,tv_18_24_g2018,tv_25_34_g2018,tv_35_44_g2018,tv_45_54_g2018,tv_55_64_g2018,tv_65_74_g2018,tv_75plus_g2018,tv_total_g2018,v_trump_2024,v_harris_2024,v_stein_gov_2024,v_robinson_gov_2024,two_pty_2024,precinct_rep_pct,precinct_dem_pct,precinct_margin,competitiveness,winner_2024,youth_dem_pct_raw,youth_rep_pct_raw,youth_dem_pct,youth_rep_pct,overall_turnout_2024,youth_turnout_2024,youth_share_2024,youth_turnout_gap,youth_turnout_2018
ALAMANCE,01,PATTERSON,3794.0,3468,326,444,1867,1136,19,2,3202,226,16,6,129,1721,1827,379,558,555,567,677,634,424,3017,2701,1716,0.87,0.7788,0.4948,5135.0,4466.0,265.0,17.0,17.0,2.0,131.0,237.0,251.0,4420.0,4066.0,3568.0,226.0,16.0,7.0,167.0,3544.0,669.0,0.8697,0.0516,0.0489,0.0033,0.1303,0.7918,273.5035056003986,232.0,650.98436996593,692.1621303449307,786.4499749728376,804.0130495449857,617.222374073367,413.3400841252668,0.0503,0.1895,29,58,78,123,188,233,162,871,0,0,0,0,1,0,0,1,270,366,437,515,592,529,308,3017,85,185,272,359,417,303,95,1716,2431.0,587.0,775.0,2069.0,3018.0,0.8055003313452618,0.19449966865473825,0.6110006626905236,safe,Trump,0.19449966865473825,0.8055003313452618,0.4377998674618953,0.5622001325381047,0.87,0.7124,0.0895,-0.1576,0.2243
ALAMANCE,02,COBLE,3945.0,3636,309,431,1975,1213,16,1,3450,174,13,11,58,1774,1901,403,523,510,698,730,590,491,3227,2906,1949,0.8875,0.7992,0.536,4771.0,4262.0,169.0,22.0,18.0,4.0,77.0,219.0,190.0,4225.0,3766.0,3430.0,116.0,19.0,11.0,112.0,3406.0,509.0,0.8933,0.0354,0.0398,0.0038,0.1067,0.7894,276.2205634804445,235.0,921.3112928260568,1135.4339178837151,867.0681137901576,901.6989867293607,710.4831362089466,515.9422756074962,0.0378,0.1677,30,63,96,170,276,283,201,1119,12,7,30,50,57,57,54,267,288,362,469,629,611,523,345,3227,84,172,364,452,444,305,128,1949,2558.0,632.0,917.0,2064.0,3190.0,0.8018808777429467,0.1981191222570533,0.6037617554858934,safe,Trump,0.1981191222570533,0.8018808777429467,0.4392476489028213,0.5607523510971787,0.8875,0.7146,0.0892,-0.1729,0.2084
ALAMANCE,035,BOONE 5,4686.0,4089,597,1194,1333,1536,24,2,3377,590,63,7,215,1770,2187,1184,846,601,521,589,431,514,3523,2822,1633,0.8616,0.6901,0.3994,8320.0,6440.0,897.0,32.0,154.0,4.0,260.0,533.0,596.0,6321.0,7042.0,5587.0,733.0,23.0,138.0,427.0,5495.0,1880.0,0.774,0.1078,0.0716,0.0185,0.226,0.8464,3486.1536069543713,2963.0,836.2125004928196,960.6573277079186,905.8682437834261,885.5396271355293,549.038584732311,445.51768720183406,0.3541,0.101,33,62,85,90,172,146,204,792,17,4,28,34,27,43,42,195,964,389,457,451,504,369,389,3523,101,194,270,334,290,274,170,1633,1980.0,1642.0,1903.0,1526.0,3622.0,0.5466593042517945,0.4533406957482054,0.09331860850358914,competitive,Trump,0.4533406957482054,0.5466593042517945,0.5413362782992822,0.45866372170071784,0.8616,0.8142,0.2736,-0.0474,0.0853
ALAMANCE,03C,CENTRAL BOONE,2428.0,2214,214,528,870,804,12,0,1941,187,45,3,83,1107,1192,225,305,318,309,412,437,422,1987,1857,1440,0.8975,0.8388,0.6504,2755.0,2292.0,180.0,11.0,81.0,0.0,65.0,126.0,161.0,2256.0,2246.0,1891.0,162.0,4.0,63.0,105.0,1869.0,463.0,0.8319,0.0653,0.0584,0.0294,0.1681,0.8152,187.43284373037426,159.0,277.60873625725554,411.6554129143785,375.3932072838083,454.7275963885838,473.5813468859887,327.18355668620495,0.0567,0.2421,22,29,56,71,157,201,178,714,19,44,107,127,197,266,181,941,158,202,238,295,397,377,320,1987,68,121,187,288,338,299,139,1440,1124.0,872.0,1111.0,740.0,1996.0,0.56312625250501,0.43687374749499,0.12625250501002006,lean,Trump,0.43687374749499,0.56312625250501,0.534749498997996,0.46525050100200405,0.8975,0.7022,0.0795,-0.1953,0.3022
ALAMANCE,03N,NORTH BOONE,3680.0,2978,702,901,965,1096,16,0,2935,276,68,1,112,1363,1718,1040,746,279,304,444,439,428,2628,2269,1450,0.8825,0.7619,0.4869,5578.0,4625.0,439.0,10.0,135.0,0.0,78.0,291.0,262.0,4539.0,5006.0,4209.0,370.0,8.0,125.0,203.0,4134.0,953.0,0.8292,0.0787,0.047,0.0242,0.1708,0.8975,2268.346175399,1928.0,284.0815664501712,456.20740921298744,445.1694831132498,642.1905873387179,556.8020766370777,440.2537722176911,0.3942,0.1733,42,22,48,62,143,183,160,660,31,16,40,64,115,119,79,464,826,175,228,285,431,372,311,2628,129,106,177,303,331,279,125,1450,1150.0,1433.0,1640.0,799.0,2583.0,0.4452187379016647,0.5547812620983352,-0.10956252419667051,lean,Harris,0.5547812620983352,0.4452187379016647,0.5819125048393341,0.4180874951606659,0.8825,0.7942,0.3143,-0.0883,0.124
ALAMANCE,03N2,NORTH BOONE 2,750.0,721,29,257,179,284,1,0,701,6,3,0,3,261,450,12,5,9,5,18,62,639,661,628,593,0.9168,0.871,0.8225,829.0,800.0,8.0,0.0,3.0,0.0,0.0,18.0,11.0,800.0,791.0,769.0,6.0,0.0,3.0,7.0,769.0,29.0,0.965,0.0097,0.0133,0.0036,0.035,0.9542,12.379269966183482,11.0,2.9438507846411937,9.888319302256317,15.021187337015322,18.568904949275222,22.192105914987458,47.47902932152079,0.0872,0.4907,0,0,1,1,4,39,377,422,0,1,1,1,7,42,286,338,7,1,9,6,18,76,544,661,1,4,5,12,31,210,330,593,296.0,353.0,431.0,177.0,649.0,0.4560862865947612,0.5439137134052389,-0.08782742681047767,competitive,Harris,0.5439137134052389,0.4560862865947612,0.5775654853620955,0.4224345146379045,0.9168,0.5833,0.0106,-0.3335,0.0833
ALAMANCE,03SE,SOUTH BOONE E,4163.0,3423,740,1092,1009,1308,11,3,2429,1088,93,10,196,1693,2164,348,911,691,510,620,564,519,2856,2552,1669,0.8344,0.7455,0.4876,5609.0,3434.0,1264.0,31.0,292.0,2.0,223.0,363.0,452.0,3357.0,4636.0,3000.0,946.0,29.0,246.0,338.0,2949.0,2175.0,0.6122,0.2254,0.0806,0.0521,0.3878,0.8265,507.9737084160561,432.0,634.3737556476943,610.7709445545569,752.3932531051099,694.394949928447,578.767625719939,628.8737047766047,0.0951,0.226,21,46,78,65,149,204,171,734,30,44,89,96,146,171,128,704,264,478,411,383,493,482,345,2856,115,212,225,299,356,319,143,1669,1359.0,1540.0,1728.0,1008.0,2899.0,0.4687823387374957,0.5312176612625044,-0.06243532252500866,competitive,Harris,0.5312176612625044,0.4687823387374957,0.5724870645050018,0.42751293549499825,0.8344,0.7586,0.0924,-0.0758,0.3305
ALAMANCE,03SM,SOUTH BOONE M,4139.0,3562,577,1007,1029,1510,16,0,2500,883,120,9,202,1674,2074,386,709,733,725,634,488,464,3086,2621,1648,0.8664,0.7358,0.4627,4671.0,3032.0,743.0,8.0,340.0,0.0,211.0,337.0,440.0,2948.0,3524.0,2362.0,556.0,4.0,254.0,287.0,2310.0,1639.0,0.6491,0.1591,0.0942,0.0728,0.3509,0.7544,275.2863554233286,234.0,357.1757595370871,607.9479951124948,469.76770741912304,468.354446890314,240.26840226590588,249.59486792945978,0.0773,0.1375,26,50,77,127,144,159,158,741,21,60,135,161,140,152,141,810,261,458,570,576,488,410,323,3086,96,207,322,359,274,279,111,1648,1460.0,1575.0,1842.0,1020.0,3035.0,0.48105436573311366,0.5189456342668863,-0.03789126853377267,tossup,Harris,0.5189456342668863,0.48105436573311366,0.5675782537067545,0.4324217462932455,0.8664,0.6762,0.0846,-0.1902,0.2487
ALAMANCE,03W,WEST BOONE,3173.0,2832,341,703,1027,1088,13,1,2395,391,27,16,107,1323,1623,301,454,482,470,537,508,421,2479,2237,1481,0.8754,0.7899,0.523,3980.0,3164.0,421.0,19.0,76.0,1.0,89.0,210.0,219.0,3112.0,3111.0,2505.0,322.0,14.0,60.0,145.0,2479.0,816.0,0.795,0.1058,0.055,0.0191,0.205,0.7817,213.94738453051383,182.0,192.14086508737336,327.98349370447323,439.03911511992146,437.88326235536715,473.25851097496053,527.7539491742963,0.0653,0.3056,26,40,47,94,160,189,146,702,17,26,42,75,104,119,77,460,211,292,354,422,462,436,302,2479,65,147,233,321,341,271,103,1481,1440.0,1048.0,1293.0,1060.0,2488.0,0.5787781350482315,0.4212218649517685,0.157556270096463,lean,Trump,0.4212218649517685,0.5787781350482315,0.5284887459807074,0.4715112540192926,0.8754,0.701,0.0851,-0.1744,0.2159
ALAMANCE,04,MORTON,4172.0,3828,344,631,2013,1168,14,2,3429,403,11,10,85,1848,2053,401,540,640,565,785,723,518,3404,3103,1955,0.8892,0.8106,0.5107,5427.0,4588.0,440.0,23.0,10.0,6.0,103.0,257.0,231.0,4536.0,4307.0,3668.0,379.0,22.0,8.0,149.0,3630.0,839.0,0.8454,0.0811,0.0426,0.0018,0.1546,0.7936,471.1072766543735,400.0,701.3412057824982,637.446883855541,737.3021302132933,847.5670858875707,555.2656379503776,398.84853888870265,0.0858,0.1739,34,64,97,118,221,309,204,1047,0,5,1,2,7,4,2,21,272,398,527,544,679,609,375,3404,84,229,254,410,487,356,135,1955,2621.0,733.0,984.0,2217.0,3354.0,0.7814549791293978,0.21854502087060226,0.5629099582587955,safe,Trump,0.21854502087060226,0.7814549791293978,0.4474180083482409,0.5525819916517591,0.8892,0.6783,0.0799,-0.2109,0.2095
