county_desc,precinct_abbrv,pop_total,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two_more,pop_hispanic,pop_white_nonhisp,vap_total,vap_white,vap_black,vap_aian,vap_asian,vap_hispanic,vap_white_nonhisp,pop_nonwhite,pct_white,pct_black,pct_hispanic,pct_asian,pct_nonwhite,vap_pct
ALAMANCE,01,5135,4466,265,17,17,2,131,237,251,4420,4066,3568,226,16,7,167,3544,669,0.8697,0.0516,0.0489,0.0033,0.1303,0.7918
ALAMANCE,02,4771,4262,169,22,18,4,77,219,190,4225,3766,3430,116,19,11,112,3406,509,0.8933,0.0354,0.0398,0.0038,0.1067,0.7894
ALAMANCE,035,8320,6440,897,32,154,4,260,533,596,6321,7042,5587,733,23,138,427,5495,1880,0.774,0.1078,0.0716,0.0185,0.226,0.8464
ALAMANCE,03C,2755,2292,180,11,81,0,65,126,161,2256,2246,1891,162,4,63,105,1869,463,0.8319,0.0653,0.0584,0.0294,0.1681,0.8152
ALAMANCE,03N,5578,4625,439,10,135,0,78,291,262,4539,5006,4209,370,8,125,203,4134,953,0.8292,0.0787,0.047,0.0242,0.1708,0.8975
ALAMANCE,03N2,829,800,8,0,3,0,0,18,11,800,791,769,6,0,3,7,769,29,0.965,0.0097,0.0133,0.0036,0.035,0.9542
ALAMANCE,03SE,5609,3434,1264,31,292,2,223,363,452,3357,4636,3000,946,29,246,338,2949,2175,0.6122,0.2254,0.0806,0.0521,0.3878,0.8265
ALAMANCE,03SM,4671,3032,743,8,340,0,211,337,440,2948,3524,2362,556,4,254,287,2310,1639,0.6491,0.1591,0.0942,0.0728,0.3509,0.7544
ALAMANCE,03W,3980,3164,421,19,76,1,89,210,219,3112,3111,2505,322,14,60,145,2479,816,0.795,0.1058,0.055,0.0191,0.205,0.7817
ALAMANCE,04,5427,4588,440,23,10,6,103,257,231,4536,4307,3668,379,22,8,149,3630,839,0.8454,0.0811,0.0426,0.0018,0.1546,0.7936
ALAMANCE,05,3399,2960,179,13,9,2,105,131,179,2926,2756,2459,133,12,6,101,2445,439,0.8708,0.0527,0.0527,0.0026,0.1292,0.8108
ALAMANCE,063,5026,1471,1487,92,69,1,1517,389,2105,1224,3574,1196,1101,69,47,1256,1081,3555,0.2927,0.2959,0.4188,0.0137,0.7073,0.7111
ALAMANCE,064,6344,3987,886,86,142,0,784,459,1242,3834,4952,3314,695,50,113,769,3237,2357,0.6285,0.1397,0.1958,0.0224,0.3715,0.7806
ALAMANCE,06E,4030,2089,1121,53,43,7,369,348,617,1995,3183,1783,864,35,38,398,1719,1941,0.5184,0.2782,0.1531,0.0107,0.4816,0.7898
ALAMANCE,06N,4895,1681,1656,81,38,2,993,444,1476,1505,3587,1383,1212,60,33,928,1278,3214,0.3434,0.3383,0.3015,0.0078,0.6566,0.7328
ALAMANCE,06S,4946,3140,1157,36,93,1,206,313,450,3031,3986,2631,913,29,72,305,2554,1806,0.6349,0.2339,0.091,0.0188,0.3651,0.8059
ALAMANCE,06W,2135,902,625,32,27,1,369,179,586,820,1573,742,439,26,16,371,709,1233,0.4225,0.2927,0.2745,0.0126,0.5775,0.7368
ALAMANCE,07,4456,3753,234,16,20,0,177,256,318,3675,3475,3007,195,11,18,179,2967,703,0.8422,0.0525,0.0714,0.0045,0.1578,0.7798
ALAMANCE,08N,4235,3269,278,41,13,1,311,322,591,3164,3284,2605,244,35,12,379,2545,966,0.7719,0.0656,0.1396,0.0031,0.2281,0.7754
