county_desc,precinct_abbrv,precinct_desc,reg_active,reg_inactive,reg_other_status,reg_total,party_dem,party_lib,party_rep,party_unaf,party_other,race_asian,race_black,race_aian,race_multiracial,race_other_race,race_nhpi,race_undesignated,race_white,eth_hispanic,eth_not_hispanic,eth_undesignated,gender_female,gender_male,gender_unknown,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75plus,age_under_18,age_unknown,reg_removed,
ALAMANCE,01,PATTERSON,3468,326,0.0,3794.0,444,19,1867,1136,2,16,226,6,13,100,0,231,3202,129,2544,1121,1827,1721,246,379,558,555,567,677,634,424,0,0,0.0,0.0
ALAMANCE,02,COBLE,3636,309,0.0,3945.0,431,16,1975,1213,1,13,174,11,9,69,0,219,3450,58,2800,1087,1901,1774,270,403,523,510,698,730,590,491,0,0,0.0,0.0
ALAMANCE,035,BOONE 5,4089,597,0.0,4686.0,1194,24,1333,1536,2,63,590,7,38,178,0,433,3377,215,3145,1326,2187,1770,729,1184,846,601,521,589,431,514,0,0,0.0,0.0
ALAMANCE,03C,CENTRAL BOONE,2214,214,0.0,2428.0,528,12,870,804,0,45,187,3,8,103,0,141,1941,83,1740,605,1192,1107,129,225,305,318,309,412,437,422,0,0,0.0,0.0
ALAMANCE,03N,NORTH BOONE,2978,702,0.0,3680.0,901,16,965,1096,0,68,276,1,38,95,2,265,2935,112,2698,870,1718,1363,599,1040,746,279,304,444,439,428,0,0,0.0,0.0
ALAMANCE,03N2,NORTH BOONE 2,721,29,0.0,750.0,257,1,179,284,0,3,6,0,0,5,0,35,701,3,493,254,450,261,39,12,5,9,5,18,62,639,0,0,0.0,0.0
ALAMANCE,03SE,SOUTH BOONE E,3423,740,0.0,4163.0,1092,11,1009,1308,3,93,1088,10,25,222,0,296,2429,196,2591,1376,2164,1693,306,348,911,691,510,620,564,519,0,0,0.0,0.0
ALAMANCE,03SM,SOUTH BOONE M,3562,577,0.0,4139.0,1007,16,1029,1510,0,120,883,9,20,263,0,344,2500,202,2373,1564,2074,1674,391,386,709,733,725,634,488,464,0,0,0.0,0.0
ALAMANCE,03W,WEST BOONE,2832,341,0.0,3173.0,703,13,1027,1088,1,27,391,16,12,103,0,229,2395,107,2152,914,1623,1323,227,301,454,482,470,537,508,421,0,0,0.0,0.0
ALAMANCE,04,MORTON,3828,344,0.0,4172.0,631,14,2013,1168,2,11,403,10,7,75,1,236,3429,85,2955,1132,2053,1848,271,401,540,640,565,785,723,518,0,0,0.0,0.0
ALAMANCE,05,FAUCETTE,2531,212,0.0,2743.0,353,12,1361,805,0,3,145,3,4,54,0,165,2369,45,1970,728,1324,1238,181,255,363,376,424,505,470,350,0,0,0.0,0.0
ALAMANCE,063,GRAHAM 3,2177,486,0.0,2663.0,946,4,444,780,3,16,903,14,22,392,0,389,927,570,1285,808,1305,1079,279,432,505,369,306,405,370,276,0,0,0.0,0.0
ALAMANCE,064,GRAHAM 4,4623,503,0.0,5126.0,1244,20,1620,1739,0,89,889,15,22,359,1,440,3311,397,3161,1568,2579,2147,400,512,772,708,700,878,819,737,0,0,0.0,0.0
ALAMANCE,06E,EAST GRAHAM,2025,406,0.0,2431.0,696,11,562,756,0,19,675,10,18,159,0,223,1327,208,1426,797,1256,975,200,237,472,408,302,357,376,279,0,0,0.0,0.0
ALAMANCE,06N,NORTH GRAHAM,2015,497,0.0,2512.0,872,15,400,728,0,22,923,2,17,288,1,334,925,383,1269,860,1325,930,257,313,496,403,324,397,371,208,0,0,0.0,0.0
ALAMANCE,06S,SOUTH GRAHAM,3373,483,0.0,3856.0,1038,15,1064,1256,0,60,1030,8,13,188,2,306,2249,199,2312,1345,1978,1547,331,346,771,652,527,628,506,426,0,0,0.0,0.0
ALAMANCE,06W,WEST GRAHAM,942,222,0.0,1164.0,315,4,247,376,0,16,323,2,9,127,0,128,559,145,658,361,580,469,115,121,221,188,159,189,165,121,0,0,0.0,0.0
ALAMANCE,07,ALBRIGHT,3046,279,0.0,3325.0,454,12,1551,1028,1,17,151,6,11,97,0,215,2828,98,2354,873,1633,1470,222,323,450,439,521,653,542,397,0,0,0.0,0.0
ALAMANCE,08N,NORTH NEWLIN,2792,296,0.0,3088.0,637,22,1104,1029,0,19,216,4,10,168,0,262,2409,213,1945,930,1455,1384,249,322,442,489,461,555,499,320,0,0,0.0,0.0
ALAMANCE,08S,SOUTH NEWLIN,1445,181,0.0,1626.0,276,4,676,489,0,13,95,3,6,48,0,126,1335,53,1099,474,792,716,118,163,230,233,223,320,287,170,0,0,0.0,0.0
ALAMANCE,09N,NORTH THOMPSON,2401,313,0.0,2714.0,751,9,765,875,1,55,579,3,13,110,0,221,1733,130,1679,905,1348,1139,227,223,402,438,404,479,425,343,0,0,0.0,0.0
ALAMANCE,09S,SOUTH THOMPSON,4592,542,0.0,5134.0,1190,28,1653,1720,1,84,570,13,18,283,2,430,3734,329,3184,1621,2442,2267,425,503,730,838,787,943,827,506,0,0,0.0,0.0
ALAMANCE,103,MELVILLE 3,4484,408,0.0,4892.0,1252,25,1407,1798,2,91,957,13,19,354,1,413,3044,360,2780,1752,2406,2027,459,499,816,876,783,788,671,459,0,0,0.0,0.0
ALAMANCE,104,MELVILLE 4,1954,344,0.0,2298.0,722,6,423,803,0,48,598,9,13,128,0,218,1284,105,1356,837,1165,908,225,212,404,435,373,385,277,212,0,0,0.0,0.0
ALAMANCE,10N,NORTH MELVILLE,3322,336,0.0,3658.0,866,15,1154,1285,2,29,494,7,17,137,1,299,2674,128,2374,1156,1818,1517,323,330,551,493,518,701,557,508,0,0,0.0,0.0
ALAMANCE,10S1,SOUTH MELVILLE,5441,940,0.0,6381.0,1918,27,1345,2147,4,84,1747,13,38,313,1,565,3620,304,3770,2307,3275,2518,588,679,1178,1123,1006,1008,760,627,0,0,0.0,0.0
