original_column,shapefile_column
county,county
precinct_id,prec_id
precinct_name,prec_name
pop_total,pop_total
pop_voting_age,pop_vap
pop_18_24,pop_18_24
pop_25_34,pop_25_34
pop_35_44,pop_35_44
pop_45_54,pop_45_54
pop_55_64,pop_55_64
pop_65_74,pop_65_74
pop_75plus,pop_75plus
pop_65plus,pop_65plus
est_vap_total,vap_est
est_vap_youth,vap_youth
pop_white_alone,pop_white
pop_black_alone,pop_black
pop_hispanic,pop_hisp
pop_asian_alone,pop_asian
pop_nonwhite,pop_nonwht
pop_white_nonhispanic,pop_wht_nh
pct_white,pct_white
pct_black,pct_black
pct_hispanic,pct_hisp
pct_asian,pct_asian
pct_nonwhite,pct_nonwht
pct_white_nonhisp,pct_wht_nh
pct_18_24,pct_18_24
pct_25_34,pct_25_34
pct_65plus,pct_65plus
reg_total,reg_total
reg_active,reg_active
reg_inactive,reg_inact
reg_removed,reg_rmvd
party_dem,pty_dem
party_rep,pty_rep
party_unaf,pty_unaf
party_lib,pty_lib
party_other,pty_other
race_white,reg_white
race_black,reg_black
race_asian,reg_asian
race_aian,reg_aian
eth_hispanic,reg_hisp
gender_male,reg_male
gender_female,reg_female
age_18_24,reg_18_24
age_25_34,reg_25_34
age_35_44,reg_35_44
age_45_54,reg_45_54
age_55_64,reg_55_64
age_65_74,reg_65_74
age_75plus,reg_75plus
reg_rate,reg_rate
reg_rate_youth,reg_rt_yth
youth_gap,yth_gap
youth_gap_pct,yth_gap_pt
votes_11/05/2024,v_g2024
votes_11/03/2020,v_g2020
votes_11/08/2022,v_g2022
votes_11/08/2016,v_g2016
votes_11/06/2018,v_g2018
votes_11/07/2023,v_g2023
votes_11/07/2017,v_g2017
votes_03/05/2024,v_p2024
votes_03/03/2026,v_p2026
turnout_11/05/2024,to_g2024
turnout_11/03/2020,to_g2020
turnout_11/08/2022,to_g2022
turnout_11/08/2016,to_g2016
turnout_11/06/2018,to_g2018
turnout_03/05/2024,to_p2024
turnout_03/03/2026,to_p2026
