county_desc,precinct_abbrv,precinct_desc,reg_total,reg_active,reg_inactive,party_dem,party_rep,party_unaf,party_lib,party_other,race_white,race_black,race_asian,race_aian,eth_hispanic,gender_male,gender_female,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75plus,total_votes_g2024,total_votes_g2020,total_votes_g2018,turnout_rate_g2024,turnout_rate_g2020,turnout_rate_g2018,pop_total,pop_18_24,pop_voting_age,est_vap_total,est_vap_youth,pop_white_alone,pop_black_alone,pop_hispanic,pop_asian_alone,pop_nonwhite,pct_white,pct_black,pct_hispanic,pct_18_24,pct_65plus,tv_18_24_p2026,tv_25_34_p2026,tv_total_p2026,tv_18_24_g2025,tv_25_34_g2025,tv_total_g2025,tv_18_24_g2024,tv_25_34_g2024,tv_total_g2024,tv_18_24_g2018,tv_25_34_g2018,tv_total_g2018,v_trump_2024,v_harris_2024,v_stein_gov_2024,v_robinson_gov_2024,two_pty_2024,precinct_rep_pct,precinct_dem_pct,precinct_margin,competitiveness,winner_2024,youth_dem_pct_raw,youth_rep_pct_raw,youth_dem_pct,youth_rep_pct,overall_turnout_2024,youth_turnout_2024,youth_share_2024,youth_turnout_gap,youth_turnout_2018,youth_nonvoters,new_youth_voters,new_dem_raw,new_rep_raw,sim_trump_raw,sim_harris_raw,sim_total_raw,sim_margin_raw,sim_winner_raw,new_dem_blend,new_rep_blend,sim_trump_blend,sim_harris_blend,sim_total_blend,sim_margin_blend,sim_winner_blend,flipped_raw,flipped_blend
ALAMANCE,01,PATTERSON,3794.0,3468,326,444,1867,1136,19,2,3202,226,16,6,129,1721,1827,379,558,555,567,677,634,424,3017,2701,1716,0.87,0.7788,0.4948,5439.648930416967,273.5035056003986,4237.675488627717,4624.0,232.0,4706.709039423056,252.3128748775294,202.9040950934844,2.4273591675636346,732.939890993911,0.8653,0.0464,0.0373,0.0503,0.1895,29,58,871,0,0,1,270,366,3017,85,185,1716,2431.0,587.0,775.0,2069.0,3018.0,0.8055003313452618,0.1944996686547382,0.6110006626905236,safe,Trump,0.1944996686547382,0.8055003313452618,0.4377998674618953,0.5622001325381047,0.87,0.7124,0.0895,-0.1576,0.2243,109,11.0,2.0,9.0,2440.0,589.0,3029.0,61.10927698910531,Trump,5.0,6.0,2437.0,592.0,3029.0,60.91119181247937,Trump,False,False
ALAMANCE,02,COBLE,3945.0,3636,309,431,1975,1213,16,1,3450,174,13,11,58,1774,1901,403,523,510,698,730,590,491,3227,2906,1949,0.8875,0.7992,0.536,7313.11732033996,276.2205634804445,5328.158286526177,6216.0,235.0,5711.404487537201,724.3794317961552,460.0322833429343,215.45479309642027,1601.7128328027584,0.781,0.0991,0.0629,0.0378,0.1677,30,63,1119,12,7,267,288,362,3227,84,172,1949,2558.0,632.0,917.0,2064.0,3190.0,0.8018808777429467,0.1981191222570533,0.6037617554858934,safe,Trump,0.1981191222570533,0.8018808777429467,0.4392476489028213,0.5607523510971787,0.8875,0.7146,0.0892,-0.1729,0.2084,115,12.0,2.0,10.0,2568.0,634.0,3202.0,60.39975015615241,Trump,5.0,7.0,2565.0,637.0,3202.0,60.21236727045597,Trump,False,False
ALAMANCE,035,BOONE 5,4686.0,4089,597,1194,1333,1536,24,2,3377,590,63,7,215,1770,2187,1184,846,601,521,589,431,514,3523,2822,1633,0.8616,0.6901,0.3994,9846.033004713592,3486.1536069543718,8068.98757800821,8369.0,2963.0,7156.347754021174,1521.1690880596148,865.8278540193871,163.0,2689.6852506924183,0.7268,0.1545,0.0879,0.3541,0.101,33,62,792,17,4,195,964,389,3523,101,194,1633,1980.0,1642.0,1903.0,1526.0,3622.0,0.5466593042517945,0.4533406957482054,0.0933186085035891,competitive,Trump,0.4533406957482054,0.5466593042517945,0.5413362782992822,0.4586637217007178,0.8616,0.8142,0.2736,-0.0474,0.0853,220,22.0,10.0,12.0,1992.0,1652.0,3644.0,9.330406147091107,Trump,12.0,10.0,1990.0,1654.0,3644.0,9.220636663007683,Trump,False,False
ALAMANCE,03C,CENTRAL BOONE,2428.0,2214,214,528,870,804,12,0,1941,187,45,3,83,1107,1192,225,305,318,309,412,437,422,1987,1857,1440,0.8975,0.8388,0.6504,3307.6786785028944,187.43284373037423,2507.582700146594,2812.0,159.0,2723.922962429562,145.02283621528255,244.29794885106804,125.47061233457082,583.7557160733319,0.8235,0.0438,0.0739,0.0567,0.2421,22,29,714,19,44,941,158,202,1987,68,121,1440,1124.0,872.0,1111.0,740.0,1996.0,0.56312625250501,0.43687374749499,0.12625250501002,lean,Trump,0.43687374749499,0.56312625250501,0.534749498997996,0.465250501002004,0.8975,0.7022,0.0795,-0.1953,0.3022,67,7.0,3.0,4.0,1128.0,875.0,2003.0,12.631053419870195,Trump,4.0,3.0,1127.0,876.0,2003.0,12.531203195207189,Trump,False,False
ALAMANCE,03N,NORTH BOONE,3680.0,2978,702,901,965,1096,16,0,2935,276,68,1,112,1363,1718,1040,746,279,304,444,439,428,2628,2269,1450,0.8825,0.7619,0.4869,5754.332472950348,2268.346175399,5093.051070368895,4891.0,1928.0,4639.557902972674,455.8199292933406,135.7290035390614,278.9458603919159,1114.7745699776744,0.8063,0.0792,0.0236,0.3942,0.1733,42,22,660,31,16,464,826,175,2628,129,106,1450,1150.0,1433.0,1640.0,799.0,2583.0,0.4452187379016647,0.5547812620983352,-0.1095625241966705,lean,Harris,0.5547812620983352,0.4452187379016647,0.5819125048393341,0.4180874951606659,0.8825,0.7942,0.3143,-0.0883,0.124,214,21.0,12.0,9.0,1159.0,1445.0,2604.0,-10.98310291858679,Harris,12.0,9.0,1159.0,1445.0,2604.0,-10.98310291858679,Harris,False,False
ALAMANCE,03N2,NORTH BOONE 2,750.0,721,29,257,179,284,1,0,701,6,3,0,3,261,450,12,5,9,5,18,62,639,661,628,593,0.9168,0.871,0.8225,141.98418784384833,12.379269966183482,128.47266757587977,121.0,11.0,129.30298446385552,2.1135338966654724,9.510902534994626,0.0,12.681203379992834,0.9107,0.0149,0.067,0.0872,0.4907,0,0,422,0,1,338,7,1,661,1,4,593,296.0,353.0,431.0,177.0,649.0,0.4560862865947612,0.5439137134052389,-0.0878274268104776,competitive,Harris,0.5439137134052389,0.4560862865947612,0.5775654853620955,0.4224345146379045,0.9168,0.5833,0.0106,-0.3335,0.0833,5,0.0,0.0,0.0,296.0,353.0,649.0,-8.782742681047766,Harris,0.0,0.0,296.0,353.0,649.0,-8.782742681047766,Harris,False,False
ALAMANCE,03SE,SOUTH BOONE E,4163.0,3423,740,1092,1009,1308,11,3,2429,1088,93,10,196,1693,2164,348,911,691,510,620,564,519,2856,2552,1669,0.8344,0.7455,0.4876,5343.580574516509,507.9737084160561,4407.547942148408,4542.0,432.0,3499.208536618546,926.894535277708,437.2691003424283,429.91037098834624,1844.3720378979624,0.6548,0.1735,0.0818,0.0951,0.226,21,46,734,30,44,704,264,478,2856,115,212,1669,1359.0,1540.0,1728.0,1008.0,2899.0,0.4687823387374957,0.5312176612625044,-0.0624353225250086,competitive,Harris,0.5312176612625044,0.4687823387374957,0.5724870645050018,0.4275129354949982,0.8344,0.7586,0.0924,-0.0758,0.3305,84,8.0,4.0,4.0,1363.0,1544.0,2907.0,-6.226350189198486,Harris,5.0,3.0,1362.0,1545.0,2907.0,-6.29514963880289,Harris,False,False
ALAMANCE,03SM,SOUTH BOONE M,4139.0,3562,577,1007,1029,1510,16,0,2500,883,120,9,202,1674,2074,386,709,733,725,634,488,464,3086,2621,1648,0.8664,0.7358,0.4627,3563.426492112309,275.2863554233286,2668.395534577713,3029.0,234.0,2077.997559700994,953.7043420137668,257.59733794290656,224.24079655794372,1485.4289324113151,0.5831,0.2676,0.0723,0.0773,0.1375,26,50,741,21,60,810,261,458,3086,96,207,1648,1460.0,1575.0,1842.0,1020.0,3035.0,0.4810543657331136,0.5189456342668863,-0.0378912685337726,tossup,Harris,0.5189456342668863,0.4810543657331136,0.5675782537067545,0.4324217462932455,0.8664,0.6762,0.0846,-0.1902,0.2487,125,12.0,6.0,6.0,1466.0,1581.0,3047.0,-3.7742041352149656,Harris,7.0,5.0,1465.0,1582.0,3047.0,-3.839842468001313,Harris,False,False
ALAMANCE,03W,WEST BOONE,3173.0,2832,341,703,1027,1088,13,1,2395,391,27,16,107,1323,1623,301,454,482,470,537,508,421,2479,2237,1481,0.8754,0.7899,0.523,3275.3392052547188,213.94738453051383,2612.0065809469056,2784.0,182.0,2720.4804099332646,372.85521178091335,88.12324180726966,0.0,554.8587953214538,0.8306,0.1138,0.0269,0.0653,0.3056,26,40,702,17,26,460,211,292,2479,65,147,1481,1440.0,1048.0,1293.0,1060.0,2488.0,0.5787781350482315,0.4212218649517685,0.157556270096463,lean,Trump,0.4212218649517685,0.5787781350482315,0.5284887459807074,0.4715112540192926,0.8754,0.701,0.0851,-0.1744,0.2159,90,9.0,4.0,5.0,1445.0,1052.0,2497.0,15.738886663996796,Trump,5.0,4.0,1444.0,1053.0,2497.0,15.658790548658391,Trump,False,False
ALAMANCE,04,MORTON,4172.0,3828,344,631,2013,1168,14,2,3429,403,11,10,85,1848,2053,401,540,640,565,785,723,518,3404,3103,1955,0.8892,0.8106,0.5107,5487.9589703027605,471.1072766543735,4348.878759232357,4665.0,400.0,4615.073818068093,290.8041911608938,318.4580898607872,0.4778455775028625,872.8851522346682,0.8409,0.053,0.058,0.0858,0.1739,34,64,1047,0,5,21,272,398,3404,84,229,1955,2621.0,733.0,984.0,2217.0,3354.0,0.7814549791293978,0.2185450208706022,0.5629099582587955,safe,Trump,0.2185450208706022,0.7814549791293978,0.4474180083482409,0.5525819916517591,0.8892,0.6783,0.0799,-0.2109,0.2095,129,13.0,3.0,10.0,2631.0,736.0,3367.0,56.28155628155628,Trump,6.0,7.0,2628.0,739.0,3367.0,56.103356103356106,Trump,False,False
